epoch,d_loss,g_loss
271,1.79,0.8992
272,1.7967,0.9235
273,1.7995,0.9147
274,1.8133,0.8902
275,1.7506,0.901
276,1.7558,0.9067
277,1.7926,0.9042
278,1.7837,0.9228
279,1.7659,0.9051
280,1.7836,0.9083
281,1.7791,0.9232
282,1.7753,0.9179
283,1.7751,0.9039
284,1.7634,0.9038
285,1.7817,0.8948
286,1.7796,0.8994
287,1.7978,0.9351
288,1.7756,0.8961
289,1.789,0.8999
290,1.765,0.8932
291,1.7876,0.9042
292,1.7616,0.9216
293,1.7627,0.8989
294,1.7731,0.9051
295,1.7857,0.907
296,1.7749,0.8879
297,1.7797,0.9075
298,1.7777,0.9072
299,1.7632,0.9043
300,1.8052,0.9206
