epoch,train_acc,test_acc,test_covid_recall
1,0.95975,0.9114583333333334,0.9027777777777778
2,0.98475,0.9583333333333334,0.9305555555555556
3,0.99425,0.9583333333333334,0.9305555555555556
4,0.997,0.9375,0.9027777777777778
5,0.99725,0.9583333333333334,0.9444444444444444
6,0.99875,0.9739583333333334,0.9583333333333334
7,0.99925,0.9635416666666666,0.9444444444444444
8,0.99875,0.9583333333333334,0.9583333333333334
9,0.998,0.9479166666666666,0.8888888888888888
10,0.99625,0.9635416666666666,0.9722222222222222
11,0.99875,0.9635416666666666,0.9444444444444444
12,0.999,0.9583333333333334,0.9305555555555556
13,0.99925,0.953125,0.9722222222222222
14,1.0,0.9479166666666666,0.8611111111111112
15,0.99725,0.9479166666666666,0.9583333333333334
16,0.9985,0.9739583333333334,0.9722222222222222
17,0.9995,0.9739583333333334,0.9722222222222222
18,0.9995,0.9583333333333334,1.0
19,0.99725,0.9739583333333334,0.9722222222222222
20,0.99875,0.9635416666666666,0.9722222222222222
21,0.99975,0.96875,0.9722222222222222
22,0.9985,0.96875,1.0
23,0.99625,0.9739583333333334,0.9583333333333334
24,0.999,0.9739583333333334,0.9583333333333334
25,0.9995,0.9739583333333334,0.9861111111111112
