epoch,train_acc,test_acc,test_covid_recall
1,0.7866379310344828,0.8697916666666666,0.8472222222222222
2,0.9030172413793104,0.890625,0.8472222222222222
3,0.9601293103448276,0.921875,0.875
4,0.9806034482758621,0.921875,0.8888888888888888
5,0.9881465517241379,0.9322916666666666,0.9027777777777778
6,0.9967672413793104,0.9270833333333334,0.875
7,0.9956896551724138,0.921875,0.9166666666666666
8,0.990301724137931,0.9270833333333334,0.8888888888888888
9,0.9956896551724138,0.9322916666666666,0.8888888888888888
10,0.9989224137931034,0.9375,0.8888888888888888
11,1.0,0.9375,0.9166666666666666
12,0.9989224137931034,0.9270833333333334,0.9027777777777778
13,1.0,0.9375,0.9305555555555556
14,1.0,0.9375,0.9444444444444444
15,0.9978448275862069,0.9375,0.9305555555555556
16,0.9956896551724138,0.9322916666666666,0.875
17,1.0,0.9375,0.9166666666666666
18,0.9881465517241379,0.9270833333333334,0.9166666666666666
19,0.9956896551724138,0.9427083333333334,0.8888888888888888
20,0.9978448275862069,0.9427083333333334,0.9166666666666666
21,0.9967672413793104,0.9322916666666666,0.9027777777777778
22,0.9924568965517241,0.9427083333333334,0.875
23,0.9967672413793104,0.9322916666666666,0.875
24,1.0,0.9583333333333334,0.9305555555555556
25,0.9967672413793104,0.9270833333333334,0.8333333333333334
