epoch,d_loss,g_loss
270,1.6492,0.1952
271,1.7541,0.2577
272,1.6494,0.2599
273,1.8527,0.1295
274,1.737,0.0964
275,1.7042,0.0769
276,1.6304,0.1416
277,1.7538,0.0501
278,1.6961,0.1241
279,1.6751,0.0995
280,1.6913,0.1222
281,1.724,0.1338
282,1.6881,0.1795
283,1.6143,0.175
284,1.6751,0.1925
285,1.6856,0.1986
286,1.6795,0.1867
287,1.5825,0.3202
288,1.6576,0.2129
289,1.6915,0.3367
290,1.6704,0.2054
291,1.6468,0.2676
292,1.613,0.3523
293,1.7373,0.1666
294,1.7145,0.1735
295,1.6082,0.2782
296,1.639,0.2508
297,1.6896,0.3696
298,1.6933,0.1454
299,1.6754,0.1301
300,1.6699,0.1421
301,1.6876,0.2337
302,1.63,0.2304
303,1.6364,0.3559
304,1.654,0.266
305,1.616,0.3441
306,1.5462,0.3529
307,1.7246,0.2716
308,1.6161,0.274
309,1.6566,0.3185
310,1.6949,0.264
311,1.7329,0.1741
312,1.6383,0.3121
313,1.6524,0.2699
314,1.5934,0.2376
315,1.7284,0.2582
316,1.6307,0.3264
317,1.6908,0.3538
318,1.6845,0.1364
319,1.5484,0.3236
320,1.6699,0.2448
321,1.7332,0.1883
322,1.6657,0.1765
323,1.6957,0.2353
324,1.6348,0.228
325,1.6612,0.3634
326,1.7462,0.196
327,1.6823,0.2168
328,1.6526,0.3038
329,1.6697,0.2711
330,1.6359,0.2796
331,1.6774,0.3023
332,1.7005,0.1773
333,1.6545,0.2033
334,1.6951,0.2066
335,1.6353,0.2709
336,1.669,0.2698
337,1.6879,0.2471
338,1.6665,0.219
339,1.6876,0.3519
340,1.7977,0.0929
341,1.7336,0.0848
342,1.6835,0.1301
343,1.6897,0.1344
344,1.6689,0.1471
345,1.679,0.1386
346,1.6514,0.1525
347,1.6891,0.1289
348,1.7192,0.1494
349,1.6589,0.1786
350,1.6894,0.2352
351,1.7057,0.2161
352,1.6814,0.149
353,1.706,0.2151
354,1.7185,0.1994
355,1.7832,0.2262
356,1.7256,0.1597
357,1.7164,0.1836
358,1.7372,0.1649
359,1.7025,0.1818
360,1.7053,0.2031
361,1.7247,0.2211
362,1.6968,0.1587
363,1.6856,0.1751
364,1.6484,0.2255
365,1.6668,0.3074
366,1.7365,0.3762
367,1.6714,0.1557
368,1.6469,0.282
369,1.6864,0.2353
370,1.6951,0.2676
371,1.6733,0.2209
372,1.6372,0.3143
373,1.6166,0.3465
374,1.6588,0.277
375,1.7429,0.2942
376,1.7004,0.1339
377,1.6788,0.2148
378,1.6625,0.2862
379,1.6576,0.2625
380,1.6533,0.1925
381,1.6448,0.2751
382,1.6476,0.2665
383,1.6385,0.3498
384,1.7103,0.2798
385,1.6372,0.2126
386,1.6243,0.2422
387,1.6592,0.2767
388,1.6612,0.338
389,1.6624,0.2336
390,1.6751,0.3088
391,1.6575,0.3398
392,1.6781,0.2846
393,1.6719,0.2493
394,1.6583,0.2798
395,1.6731,0.3149
396,1.595,0.382
397,1.701,0.2667
398,1.7066,0.1733
399,1.6532,0.2304
400,1.6147,0.2734
401,1.7779,0.2872
402,1.7424,0.1317
403,1.7065,0.101
404,1.6864,0.0969
405,1.7026,0.1002
406,1.7039,0.113
407,1.7088,0.1611
408,1.6626,0.1606
409,1.7385,0.1499
410,1.6789,0.1556
411,1.6994,0.172
412,1.6873,0.1718
413,1.6699,0.2058
414,1.6831,0.2964
415,1.7018,0.2334
416,1.6718,0.1782
417,1.7165,0.2256
418,1.5631,0.3608
419,1.7223,0.2817
420,1.6863,0.1758
421,1.7504,0.1612
422,1.6899,0.1662
423,1.6874,0.1492
424,1.6874,0.2146
425,1.713,0.1701
426,1.6778,0.2257
427,1.6748,0.2001
428,1.6241,0.2589
429,1.6781,0.2105
430,1.6408,0.2058
431,1.6546,0.2582
432,1.6209,0.2306
433,1.6145,0.3661
434,1.6441,0.229
435,1.7249,0.1223
436,1.6885,0.1797
437,1.6171,0.266
438,1.6812,0.344
439,1.7183,0.149
440,1.6778,0.1425
441,1.5795,0.3405
442,1.6421,0.299
443,1.7289,0.2111
444,1.5947,0.3044
445,1.6069,0.2326
446,1.6117,0.3947
447,1.7958,0.1191
448,1.7215,0.1226
449,1.5917,0.2481
450,1.7163,0.2258
451,1.6676,0.2662
452,1.6803,0.2046
453,1.6629,0.268
454,1.6925,0.2804
455,1.6287,0.3114
456,1.598,0.3352
457,1.6361,0.3468
458,1.5501,0.4386
459,1.7083,0.1638
460,1.5171,0.3874
461,1.618,0.336
462,1.7151,0.2587
463,1.627,0.2829
464,1.5862,0.3031
465,1.7441,0.2545
466,1.7504,0.178
467,1.5558,0.3036
468,1.5821,0.3188
469,1.6394,0.2782
470,1.6398,0.4857
471,1.7273,0.1922
472,1.725,0.1506
473,1.6439,0.197
474,1.5909,0.2823
475,1.6172,0.3662
476,1.6331,0.363
477,1.6389,0.3584
478,1.6307,0.2438
479,1.7026,0.4457
480,1.7212,0.0682
481,1.7047,0.0988
482,1.6667,0.1824
483,1.5845,0.2759
484,1.5342,0.4404
485,1.7604,0.0724
486,1.7085,0.1588
487,1.7108,0.1448
488,1.6421,0.181
489,1.6086,0.3461
490,1.6447,0.2947
491,1.607,0.2689
492,1.656,0.3443
493,1.7074,0.1527
494,1.6721,0.1698
495,1.6848,0.2342
496,1.5842,0.3226
497,1.6567,0.2516
498,1.6881,0.1909
499,1.6436,0.2343
500,1.6027,0.3106
501,1.6654,0.2583
502,1.6358,0.2505
503,1.6378,0.1909
504,1.6862,0.2455
505,1.6266,0.2768
506,1.6434,0.3287
507,1.7199,0.1806
508,1.5802,0.3414
509,1.6869,0.1923
510,1.6847,0.1677
511,1.6067,0.3548
512,1.6559,0.1889
513,1.6955,0.2614
514,1.6558,0.2875
515,1.6106,0.2874
516,1.6517,0.2449
517,1.6584,0.2496
518,1.6824,0.322
519,1.6465,0.2047
520,1.6476,0.2413
521,1.5359,0.4675
522,1.73,0.1814
523,1.72,0.1876
524,1.7113,0.2972
525,1.5757,0.3575
526,1.6925,0.2018
527,1.6239,0.2487
528,1.6251,0.3765
529,1.6627,0.223
530,1.6504,0.2813
531,1.6524,0.3413
532,1.6637,0.2255
533,1.586,0.308
534,1.6726,0.2264
535,1.7054,0.2899
536,1.5713,0.2615
537,1.5833,0.281
538,1.6525,0.3962
539,1.6045,0.2953
540,1.5996,0.3229
541,1.6212,0.3448
542,1.668,0.3419
543,1.6267,0.2542
544,1.6902,0.2247
545,1.6027,0.3291
546,1.615,0.2644
547,1.67,0.3588
548,1.7324,0.122
549,1.6829,0.2774
550,1.6234,0.2932
551,1.6573,0.2853
552,1.5883,0.3238
553,1.6974,0.185
554,1.7037,0.1896
555,1.6345,0.2931
556,1.6448,0.3421
557,1.7249,0.1555
558,1.704,0.1821
559,1.6543,0.1821
560,1.6873,0.205
561,1.7146,0.1325
562,1.6988,0.1782
563,1.6647,0.2109
564,1.6708,0.2055
565,1.7012,0.1977
566,1.6829,0.1877
567,1.6582,0.2921
568,1.6677,0.2956
569,1.7031,0.2417
570,1.6677,0.159
571,1.6647,0.2872
572,1.6963,0.1873
573,1.6005,0.2974
574,1.6842,0.2783
575,1.6244,0.2541
576,1.6315,0.2442
577,1.7378,0.1823
578,1.6128,0.3062
579,1.6454,0.3364
580,1.6692,0.333
581,1.6698,0.2619
582,1.6514,0.3897
583,1.6334,0.2135
584,1.5948,0.3113
585,1.6268,0.3911
586,1.7058,0.1235
587,1.625,0.2281
588,1.5869,0.2873
589,1.712,0.2443
590,1.7052,0.146
591,1.676,0.2265
592,1.6441,0.2056
593,1.6642,0.2293
594,1.6956,0.1911
595,1.6505,0.2361
596,1.6508,0.1838
597,1.6206,0.308
598,1.6512,0.2445
599,1.6474,0.1981
600,1.6588,0.2174
